"boyle_021-out" "boyle_022-out" "Dickens_Hard" "sneed_people"
"count" 0 0 0.00192563208873313 0.00519831574569839
"demand" 0 0 0.00288844813309969 0.0103966314913968
"facts" 0 0 0.0144422406654985 0.0363882102198888
"MILLS" 0 0 0 0
"notes" 0 0 0.00192563208873313 0.109164630659666
"nothing" 0 0 0.0972444204810229 0.0519831574569839
"passed" 0 0 0.0346613775971963 0.0623797889483807
"return" 0 0 0.0163678727542316 0.0363882102198888
"shown" 0 0 0.00866534439929907 0.0207932629827936
"agreed" 0 0 0.00577689626619938 0.00519831574569839
"claimed" 0 0.273722627737226 0.000962816044366563 0.025991578728492
"gave" 0 0 0.0259960331978972 0.0311898944741904
"our" 0 0 0.0433267219964954 0.0415865259655872
"pre-emption" 0 0 0 0
"prosecuted" 0 0 0 0
"alleges" 0 0 0 0
"commissioners" 0 0 0.000962816044366563 0
"last" 0 0 0.0943559723479232 0.0935696834225711
"lessor" 0 0 0 0
"shew" 0 0 0 0.00519831574569839
"used" 0.40595399188092 0 0.0259960331978972 0.00519831574569839
"consent" 0 0 0.00288844813309969 0.0207932629827936
"failure" 0 0 0.00192563208873313 0
"FROM" 0 0 0 0
"liable" 0 0 0.00192563208873313 0.0103966314913968
"performed" 0 0 0.000962816044366563 0
"produced" 0.27063599458728 0.0912408759124088 0.00385126417746625 0.0103966314913968
"slaves" 0 0.273722627737226 0.000962816044366563 0.025991578728492
"use" 0 0 0.022144769020431 0.0103966314913968
"balance" 0 0 0.00192563208873313 0.0207932629827936
"considered" 0 0.0912408759124088 0.0211819529760644 0.0311898944741904
"left" 0 0.0912408759124088 0.0702855712387591 0.0467848417112855
"mouth" 0 0 0.0144422406654985 0.0103966314913968
"properly" 0 0 0.00385126417746625 0.0103966314913968
"reason" 0.40595399188092 0 0.0240704011091641 0.0467848417112855
"seems" 0.13531799729364 0.182481751824818 0.00866534439929907 0.0363882102198888
"T" 0 0 0.00481408022183282 0.114362946405365
"thereby" 0.27063599458728 0 0 0.0103966314913968
"exception" 0 0 0.00577689626619938 0
"express" 0 0 0.0105909764880322 0.0103966314913968
